600453	Spiti Trader - 30% de desconto	spiti-trader-30-de-desconto		inactive		always	2020-04-26T21:35:59.000-03:00	2020-04-27T01:56:42.000-03:00	{'id': 12487192, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-26T21:35:59.000-03:00'}	{}
600460	Spiti Trader - 20% de desconto	spiti-trader-20-de-desconto		inactive		always	2020-04-26T22:37:42.000-03:00	2020-04-27T01:59:09.000-03:00	{'id': 12488242, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-26T22:37:42.000-03:00'}	{}
600465	Teste desconto	teste-desconto		active		always	2020-04-26T23:13:09.000-03:00	2020-04-26T23:13:09.000-03:00	{'id': 12488875, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-26T23:13:09.000-03:00'}	{}
600469	Spiti Trader - HIIT	spiti-trader-hiit		inactive		always	2020-04-26T23:32:27.000-03:00	2020-04-27T01:58:51.000-03:00	{'id': 12489217, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-26T23:32:27.000-03:00'}	{}
600471	Spiti Trader - 15% de desconto	spiti-trader-15-de-desconto		inactive		always	2020-04-26T23:45:22.000-03:00	2020-04-27T01:57:04.000-03:00	{'id': 12489451, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-26T23:45:22.000-03:00'}	{}
600473	Spiti Trader - Assinantes	spiti-trader-assinantes		inactive		always	2020-04-26T23:50:49.000-03:00	2020-04-27T01:58:29.000-03:00	{'id': 12489590, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-26T23:50:49.000-03:00'}	{}
600478	Spiti Trader - 30% de desconto - Mensal	spiti-trader-30-de-desconto-mensal		inactive		always	2020-04-27T00:40:05.000-03:00	2020-04-27T01:57:44.000-03:00	{'id': 12490683, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-27T00:40:05.000-03:00'}	{}
600479	Spiti Trader - Assinantes - Mensal	spiti-trader-assinantes-mensal		inactive		always	2020-04-27T00:54:28.000-03:00	2020-04-27T01:59:37.000-03:00	{'id': 12490989, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-27T00:54:28.000-03:00'}	{}
600481	Spiti Trader - HIIT - Mensal	spiti-trader-hiit-mensal		inactive		always	2020-04-27T01:07:15.000-03:00	2020-04-27T01:59:57.000-03:00	{'id': 12491266, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-27T01:07:15.000-03:00'}	{}
600482	Spiti Trader - Voucher- Mensal	spiti-trader-voucher-mensal		inactive		always	2020-04-27T01:40:11.000-03:00	2020-04-27T02:00:18.000-03:00	{'id': 12492020, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-27T01:40:11.000-03:00'}	{}
